Texte
39 159
Nombre total de passes décisives cette saison
28/01/25 - ATL contre PRISE
"Trae Young, LeBron James, Isaiah Collier – 9 passes décisives"
"Trae Young d'Atlanta, LeBron James de Los Angeles et Isaiah Collier d'Utah ont partagé la tête des passes décisives mardi avec neuf passes chacun lors des défaites contre Houston, Philadelphie et Golden State."
Voir la vidéo Box Score
#NBACares
"State Farm croit au pouvoir de l'assistance, sur le terrain comme en dehors. C'est pourquoi nous transformons chaque assistance sur le terrain en assistance réelle dans les communautés à travers l'Amérique. State Farm et la NBA s'associent pour faire don de 5 $ aux quartiers dans le besoin pour chaque assistance cette saison."
"Découvrez la grande variété de graphiques de tir disponibles - tracé de tir, carte hexagonale, zones de tir, carte thermique, flux - pour visualiser des performances de tir incroyables."
Il marque 17 points dans la défaite
Il mène son équipe dans une défaite écrasante
Des difficultés lors d'une défaite éclatante
Les Sniffs font un double-double dans la victoire
Il remporte six planches dans la victoire
L'équipe des Paces avec 26 points
Saison
Grouper par
Section
BASE DE DÉPART D'ÉGALITÉ POUR LES ÉGALITÉS À DEUX SENS :
BASE DE SÉPARATION POUR CRAVATE À PLUSIEURS VOIES :
Force du programme :
"Regardez les adversaires pour vos matchs restants, leur pourcentage de victoires à l'extérieur ou à domicile, et si l'une ou l'autre équipe participe ou non à la deuxième nuit d'un match consécutif."
"Les égalités pour les positions en séries éliminatoires (y compris les vainqueurs de division) seront départagées en utilisant les critères énoncés au sous-paragraphe a. ci-dessous (dans le cas d'égalités impliquant deux équipes) et au sous-paragraphe b. ci-dessous (dans le cas d'égalités impliquant plus de deux équipes), et les lignes directrices énoncées au sous-paragraphe c. ci-dessous."
"a. Deux équipes à égalité. En cas d'égalité dans les records de saison régulière impliquant seulement deux équipes, les critères suivants seront utilisés dans l'ordre suivant :"
"b. Plus de deux équipes à égalité. En cas d'égalité dans les records de saison régulière impliquant plus de deux équipes, les critères suivants seront utilisés dans l'ordre suivant :"
c. Lignes directrices pour l'application des critères de départage. Les lignes directrices suivantes doivent être utilisées lors de l'application des critères ci-dessus pour départager les équipes en séries éliminatoires :
La NBA Draft sera un événement de deux jours pour la deuxième année consécutive et sera diffusée sur les plateformes ESPN.
Récapitulez chaque choix et échange des 1er et 2e tours de la Draft NBA 2024.
"La France produit 3 des 10 premiers choix, Portland monte en puissance, Dalton Knecht glisse à la 17e place et plus encore dès le premier tour."
"Premier choix au classement général en 2024, Zaccharie Risacher dit ne ressentir « aucune pression » pour répondre aux attentes élevées."
"Les efforts collectifs de Bronny, LeBron, les Lakers et 29 autres équipes produisent le premier duo père et fils actif de la NBA."
Les recrues des Lakers Dalton Knecht et Bronny James ont rencontré les médias mardi et pourraient avoir un impact immédiat à Los Angeles.
"Pas moins de 15 choix sont échangés lors d'un 2e tour mouvementé, couronnant la première Draft sur plusieurs jours de l'histoire de la NBA."
2024 |  Choix n° 1 — Zaccharie Risacher (Atlanta Hawks) |  Projet complet
2023 | 1er choix — Victor Wembanyama (San Antonio Spurs) | Projet complet
2022 | Choix n°1 — Paolo Banchero (Orlando Magic) | Brouillon complet
2021 | 1er choix — Cade Cunningham (Detroit Pistons) | Projet complet
2020 | 1er choix — Anthony Edwards (Minnesota Timberwolves) | Projet complet
2019 | 1er choix — Zion Williamson (Pelicans de la Nouvelle-Orléans) | Projet complet
2018 | 1er choix — Deandre Ayton (Phoenix Suns) | Projet complet
2017 | 1er choix — Markelle Fultz (Philadelphia 76ers) | Projet complet
2016 | 1er choix — Ben Simmons (Philadelphia 76ers) | Projet complet
2015 | 1er choix — Karl-Anthony Towns (Minnesota Timberwolves) | Projet complet
2014 | 1er choix — Andrew Wiggins (Cleveland Cavaliers) | Projets complets
2013 | 1er choix — Anthony Bennett (Cleveland Cavaliers) | Projet complet
2012 | 1er choix — Anthony Davis (New Orleans Hornets) | Projet complet
2011 | 1er choix — Kyrie Irving (Cleveland Cavaliers) | Projet complet
2010 | 1er choix — John Wall (Washington Wizards) | Projet complet
2009 | 1er choix — Blake Griffin (LA Clippers) | Projet complet
2008 | 1er choix — Derrick Rose (Chicago Bulls) | Projet complet
2007 | 1er choix — Greg Oden (Portland Trail Blazers) | Projet complet
2006 | 1er choix — Andrea Bargnani (Raptors de Toronto) | Repêchage complet
2005 | 1er choix — Andrew Bogut (Milwaukee Bucks) | Projet complet
2004 | 1er choix — Dwight Howard (Orlando Magic) | Projet complet
2003 | 1er choix — LeBron James (Cleveland Cavaliers) | Projet complet
2002 | 1er choix — Yao Ming (Houston Rockets) | Projet complet
2001 | 1er choix — Kwame Brown (Washington Wizards) | Projet complet
2000 | 1er choix — Kenyon Martin (New Jersey Nets) | Projet complet
1999 | 1er choix — Elton Brand (Chicago Bulls) | Projet complet
1998 | 1er choix — Michael Olowokandi (LA Clippers) | Projet complet
1997 | 1er choix — Tim Duncan (San Antonio Spurs) | Projet complet
1996 | 1er choix — Allen Iverson (Philadelphia 76ers) | Projet complet
1995 | 1er choix — Joe Smith (Golden State Warriors) | Projet complet
1994 | 1er choix — Glenn Robinson (Milwaukee Bucks) | Projet complet
1993 | 1er choix — Chris Webber (Orlando Magic) | Projet complet
1992 | 1er choix — Shaquille O’ Neal (Orlando Magic) | Projet complet
1991 | 1er choix — Larry Johnson (Charlotte Hornets) | Projet complet
1990 | 1er choix — Derrick Coleman (New Jersey Nets) | Projet complet
1989 | 1er choix — Pervis Ellison (Sacramento Kings) | Projet complet
1988 | 1er choix — Danny Manning (LA Clippers) | Projet complet
1987 | 1er choix — David Robinson (San Antonio Spurs) | Projet complet
1986 | 1er choix — Brad Daugherty (Cleveland Cavaliers) | Projet complet
1985 | 1er choix — Patrick Ewing (New York Knicks) | Projet complet
1984 | 1er choix — Hakeem Olajuwon (Houston Rockets) | Projet complet
1983 | 1er choix — Ralph Sampson (Houston Rockets) | Projet complet
1982 | 1er choix — James Worthy (Los Angeles Lakers) | Projet complet
1981 | 1er choix — Mark Aguirre (Dallas Mavericks) | Projet complet
1980 | 1er choix — Joe Barry Carroll (Golden State Warriors) | Projet complet
1979 | 1er choix — Magic Johnson (Los Angeles Lakers) | Projet complet
1978 | 1er choix — Mychal Thompson (Portland Trail Blazers) | Projet complet
1977 | 1er choix — Kent Benson (Milwaukee Bucks) | Projet complet
1976 | 1er choix — John Lucas (Houston Rockets) | Projet complet
1975 | 1er choix — David Thompson (Atlanta Hawks) | Projet complet
1974 | 1er choix — Bill Walton (Portland Trail Blazers) | Projet complet
1973 | 1er choix — Doug Collins (Philadelphia 76ers) | Projet complet
1972 | 1er choix — LaRue Martin (Portland Trail Blazers) | Repêchage complet
1971 | 1er choix — Austin Carr (Cleveland Cavaliers) | Projet complet
1970 | 1er choix — Bob Lanier (Detroit Pistons) | Projet complet
1969 | 1er choix — Kareem Abdul-Jabbar (Milwaukee Bucks) | Projet complet
1968 | 1er choix — Elvin Hayes (San Diego Rickets) | Projet complet
1967 | 1er choix — Jimmy Walker (Detroit Pistons) | Projet complet
1966 | 1er choix — Cazzie Russell (New York Knicks) | Projet complet
1965 | 1er choix — Fred Hetzel (Warriors de San Francisco) | Projet complet
1964 | 1er choix — Jim Barnes (New York Knicks) | Projet complet
1963 | 1er choix — Art Heyman (New York Knicks) | Projet complet
1962 | 1er choix — Bill McGill (Zephyrs de Chicago) | Repêchage complet
1961 | 1er choix — Walt Bellamy (Chicago Zephyrs) | Projet complet
1960 | 1er choix — Oscar Robertson (Cincinnati Royals) | Projet complet
1959 | 1er choix — Bob Boozer (Cincinnati Royals) | Projet complet
1958 | 1er choix — Elgin Baylor (Minneapolis Lakers) | Projet complet
1957 | 1er choix — Hot Rod Hundley (Cincinnati Royals) | Projet complet
1956 | 1er choix — Si Green (Rochester Royals) | Projet complet
1955 | 1er choix — Dick Ricketts (Hawks de St. Louis) | Projet complet
1954 | 1er choix — Frank Selvy (Baltimore Bullets) | Projet complet
1953 | 1er choix — Ray Felix (Baltimore Bullets) | Projet complet
1952 | 1er choix — Mark Workman (Milwaukee Hawks) | Projet complet
1951 | 1er choix — Gene Melchiorre (Baltimore Hawks) | Projet complet
1950 | 1er choix — Chuck Share (Boston Celtics) | Projet complet
1949 | 1er choix — Howie Shannon (Providence Steam Rollers) | Projet complet
1948 | 1er choix — Andy Tonkovich (Providence Steam Rollers) | Projet complet
1947 | 1er choix — Clifton McNeeley (Pittsburgh Ironmen) | Projet complet
"NBA.com fait partie du réseau numérique Turner Sports & Entertainment de Warner Media, LLC"
Le grand homme des 76ers était en forme à la mi-saison après avoir manqué 15 matchs consécutifs en raison d'une entorse au pied gauche et d'une blessure au genou gauche.
"LeBron James n'en croyait pas ses yeux pendant deux jours après que les Lakers ont échangé Anthony Davis, mais il est désormais prêt à former un nouveau partenariat avec Luka Dončić."
"Le double champion en titre Mac McClung sera en compétition contre Matas Buzelis, Stephon Castle et Andre Jackson Jr."
Dončić a été introduit par les Lakers à la suite de l'échange sismique qui a envoyé Anthony Davis à Dallas.
"Consultez les joueurs, les recrues, les entraîneurs et les joueurs défensifs du mois pour les matchs joués en janvier."
"Dallas ajoute un ailier polyvalent qui a fait ses preuves en séries éliminatoires, tandis que Philadelphie obtient un jeune ailier 3-et-D."
"LeBron a été nommé président honoraire, tandis qu'Angel Reese de la WNBA rejoindra le comité d'accueil du Met Gala 2025"
Le All-Star est à 26 points des 30 000 dans sa carrière et espère atteindre cette barre mercredi lorsque les Suns rendront visite au Thunder.
"OKC, Houston, Cleveland, Boston et Memphis restent en tête alors que les équipes se préparent pour la date limite des échanges NBA de jeudi."
"Restez au courant de l'action NBA de ce soir avec les dernières nouvelles, les scores et les moments forts de toute la ligue."
Ime Udoka a inséré Amen Thompson dans la composition et il est devenu évident que les Rockets ont une autre jeune star en herbe dans le mix.
Les choix du DFS pour le programme de 7 matchs de la NBA du mardi 4 février.
"Trae Young et Jalen Brunson remportent des victoires palpitantes. De plus, les statistiques clés à connaître avant le repêchage des Castrol Rising Stars d'aujourd'hui."
Le match de lundi à San Antonio est retardé de 45 minutes après qu'un supporter assis au bord du terrain ait subi une urgence médicale avant le coup d'envoi.
John Shumate a passé des décennies à entraîner aux niveaux universitaire et professionnel après une carrière de cinq ans en NBA.
"Restez au courant de l'action NBA de ce soir avec les dernières nouvelles, les scores et les moments forts de toute la ligue."
"Les Raptors ont trouvé une nouvelle identité en 2025, et jusqu'à présent, c'est leur défense qui a montré la voie."
Les équipes de toute la ligue honorent les joueurs qui partent avant la date limite des échanges de la NBA.
RotoWire met en évidence les meilleurs joueurs qui débuteront à chaque poste avant la semaine 16 du basketball fantastique.
Tout ce que vous devez savoir avant la semaine 16 de NBA Fantasy - Salary Cap Edition.
RotoWire met en lumière les meilleurs joueurs avant la semaine 16 du fantasy basketball.
